role,download_mb,upload_mb,session_duration_minutes,login_hour,violation_count,is_anomaly
Faculty,234.25,170.86,178.0,8,0,0
Student,118.01,98.21,98.7,11,0,0
Student,301.55,88.03,75.1,17,0,0
Faculty,771.05,302.23,152.8,16,0,0
Student,458.59,16.44,85.0,7,0,0
Admin,823.7,5.0,209.0,8,1,0
Faculty,557.78,23.0,134.5,15,0,0
Admin,343.33,317.18,284.2,18,0,0
Staff,172.26,5.15,149.2,17,0,0
Student,181.91,105.25,126.3,21,0,0
Faculty,931.56,127.63,149.3,17,1,0
Student,387.82,62.34,96.1,20,1,0
Faculty,943.84,54.35,62.1,11,18,1
Faculty,296.18,25.53,279.9,12,0,0
Staff,279.55,2.0,144.7,12,0,0
Faculty,681.91,389.7,115.4,19,0,0
Faculty,1206.95,257.37,218.0,7,0,0
Student,328.39,35.77,92.6,12,1,0
Student,487.98,127.87,53.7,14,0,0
Student,632.37,112.82,140.1,12,0,0
Student,252.8,74.81,105.5,22,1,0
Staff,228.44,2.0,158.7,9,1,0
Student,468.3,79.48,31.9,20,0,0
Staff,271.9,54.35,103.0,11,0,0
Student,184.94,114.79,70.6,7,0,0
Student,639.36,84.09,20.8,15,2,0
Faculty,871.16,199.46,273.1,14,1,0
Staff,628.74,85.99,87.6,11,0,0
Student,249.38,114.9,134.3,12,0,0
Guest,149.06,26.54,25.6,20,1,0
Student,472.52,44.08,5.0,14,2,0
Staff,298.39,2.0,112.4,9,0,0
Student,602.33,70.17,64.0,8,0,0
Guest,43.33,16.47,79.2,15,0,0
Student,449.34,123.38,112.0,16,0,0
Student,163.01,102.08,19.4,9,0,0
Student,336.76,94.61,114.5,20,0,0
Student,517.73,76.48,51.2,20,1,0
Student,429.46,61.21,107.4,22,1,0
Student,418.15,151.41,104.3,19,1,0
Student,449.74,64.12,65.5,21,0,0
Faculty,1125.08,214.6,227.8,10,0,0
Staff,448.87,83.55,81.5,14,0,0
Staff,1632.71,616.48,484.9,2,7,1
Student,191.21,78.44,86.4,18,0,0
Staff,288.35,102.79,188.4,13,0,0
Student,167.65,43.79,96.2,7,1,0
Student,22.03,27.37,12.1,17,1,0
Guest,83.16,43.25,21.3,18,0,0
Admin,561.41,376.84,128.2,21,0,0
Student,226.63,129.44,102.5,22,2,0
Student,259.45,49.04,72.4,9,0,0
Student,528.04,58.47,99.9,14,0,0
Student,236.68,34.13,52.4,22,1,0
Staff,290.86,69.7,139.3,9,0,0
Guest,173.73,26.03,5.0,11,0,0
Student,676.57,88.07,49.6,15,0,0
Student,269.89,53.03,61.5,10,0,0
Faculty,397.51,93.99,159.2,13,0,0
Staff,986.73,67.9,52.3,1,0,1
Admin,660.89,142.16,181.1,20,0,0
Faculty,304.92,246.66,314.0,10,1,0
Student,325.88,121.05,89.2,22,1,0
Faculty,538.84,83.5,203.8,7,0,0
Student,598.99,52.9,62.5,20,0,0
Guest,173.91,28.3,35.0,12,0,0
Faculty,833.42,137.71,267.2,10,0,0
Faculty,761.3,168.09,175.3,14,0,0
Faculty,510.15,136.17,189.8,10,0,0
Student,514.01,5.76,141.0,22,0,0
Guest,5607.44,36.35,75.0,11,0,1
Guest,121.44,49.17,61.5,17,0,0
Student,572.62,47.43,97.1,16,0,0
Student,91.79,55.2,73.7,19,0,0
Faculty,756.61,93.67,265.9,11,0,0
Student,603.81,121.21,97.4,18,0,0
Student,495.41,79.98,91.6,19,2,0
Guest,58.34,5.86,48.7,15,0,0
Guest,94.27,24.76,26.3,13,0,0
Staff,387.97,57.11,165.7,10,0,0
Student,451.19,35.64,69.3,12,13,1
Guest,3400.07,983.26,332.5,3,8,1
Student,604.98,73.44,66.8,7,0,0
Staff,439.95,70.85,130.3,17,0,0
Student,602.01,67.83,81.4,16,0,0
Student,206.04,72.95,62.3,7,0,0
Faculty,109.0,145.56,177.6,11,1,0
Student,230.3,38.06,59.9,19,2,0
Student,569.57,63.08,122.7,17,0,0
Faculty,828.24,360.12,261.0,19,0,0
Student,132.82,95.19,119.6,18,1,0
Student,487.5,30.33,81.8,10,1,0
Student,605.76,1.0,103.8,10,0,0
Student,581.05,67.71,65.9,18,2,0
Staff,320.76,4.31,112.8,11,0,0
Guest,82.49,53.63,5.0,9,0,0
Admin,959.94,41.89,75.0,12,11,1
Admin,10.0,240.01,114.9,17,0,0
Guest,81.09,1.0,5.0,20,0,0
Guest,2306.1,749.82,431.1,2,9,1
Student,521.11,69.5,83.2,17,0,0
Guest,27.12,30.71,6.3,10,0,0
Guest,105.28,23.29,24.8,17,0,0
Student,10.0,58.57,54.0,11,0,0
Faculty,1428.24,158.19,267.7,7,0,0
Student,235.14,95.04,17.7,15,1,0
Student,907.0,87.59,116.5,13,0,0
Faculty,873.52,191.84,114.1,9,0,0
Student,473.6,40.43,132.4,16,0,0
Staff,307.68,48.8,164.2,9,0,0
Student,549.95,95.66,74.3,14,0,0
Guest,51.99,29.49,29.8,12,0,0
Faculty,801.09,82.5,99.0,9,0,0
Staff,530.75,93.82,123.9,9,0,0
Student,257.2,48.69,137.9,17,0,0
Faculty,790.47,231.24,80.5,13,0,0
Faculty,909.57,158.15,134.3,17,2,0
Guest,97.58,1.0,5.0,14,0,0
Staff,535.26,23.16,82.9,8,0,0
Student,508.57,120.98,58.7,19,0,0
Faculty,599.16,5.0,207.1,7,0,0
Student,421.43,28.83,111.0,11,0,0
Admin,1111.14,5.0,181.2,7,0,0
Student,573.61,2.56,87.7,11,1,0
Faculty,552.86,181.61,30.0,16,0,0
Student,10.0,138.8,96.8,12,1,0
Student,280.71,42.73,1402.0,18,0,1
Faculty,592.6,172.99,189.3,16,0,0
Admin,730.06,16.29,292.7,22,0,0
Faculty,521.17,150.68,227.7,17,2,0
Admin,441.0,67.55,43.3,2,0,1
Faculty,557.65,96.25,161.1,19,0,0
Staff,1763.35,1296.02,541.3,23,7,1
Staff,291.03,25.79,114.3,13,0,0
Student,331.57,23.72,10.9,7,0,0
Faculty,704.36,205.21,208.4,9,0,0
Faculty,300.51,43.77,212.0,7,2,0
Guest,5.0,38.64,32.7,18,0,0
Student,2540.1,629.05,560.8,23,6,1
Student,550.03,114.88,62.2,22,1,0
Faculty,911.24,67.99,241.0,9,0,0
Guest,7405.83,64.27,93.2,13,0,1
Admin,644.72,5.0,136.8,17,0,0
Student,321.06,39.18,1150.7,11,0,1
Faculty,215.96,22.51,627.2,12,0,1
Guest,198.79,28.78,46.1,12,0,0
Student,520.59,74.8,114.8,15,0,0
Student,377.75,1859.43,99.6,11,0,1
Staff,1765.85,1378.38,551.6,2,9,1
Faculty,524.83,149.34,143.5,17,1,0
Faculty,489.33,1613.42,55.6,8,0,1
Student,446.31,113.99,68.7,12,0,0
Student,414.2,62.15,70.5,17,1,0
Student,126.33,72.42,57.2,19,0,0
Student,495.48,148.76,74.5,16,0,0
Faculty,321.14,3505.48,106.0,9,0,1
Student,245.07,56.92,102.6,10,0,0
Faculty,443.5,162.13,151.7,10,1,0
Staff,429.08,129.35,82.1,16,0,0
Student,52.46,88.15,44.9,14,1,0
Faculty,506.88,107.68,166.6,13,0,0
Staff,547.8,62.4,35.0,13,0,0
Student,464.06,72.47,61.4,21,1,0
Student,286.74,55.02,143.0,20,0,0
Student,473.29,103.32,70.3,10,1,0
Student,511.87,21.31,45.9,19,0,0
Admin,637.91,348.28,203.2,18,0,0
Student,382.05,141.81,82.2,21,1,0
Guest,161.68,19.2,29.4,16,1,0
Student,428.11,209.65,132.2,13,1,0
Student,633.95,116.99,107.8,9,1,0
Guest,146.63,39.31,19.3,20,0,0
Admin,600.99,5.0,137.1,16,0,0
Faculty,924.77,15.01,124.2,8,1,0
Staff,294.67,98.72,136.4,9,1,0
Guest,25.06,26.15,20.7,19,0,0
Student,267.55,31.58,129.2,10,0,0
Student,484.89,1635.5,88.4,16,0,1
Staff,328.61,57.34,102.8,9,0,0
Faculty,1082.94,267.5,181.8,9,0,0
Guest,146.64,1183.39,77.6,17,0,1
Student,498.39,72.91,88.9,8,2,0
Student,400.6,93.61,116.8,9,1,0
Staff,292.18,110.11,188.6,13,0,0
Student,400.76,148.75,5.0,13,0,0
Staff,380.21,39.91,122.1,10,0,0
Guest,184.95,1.76,13.5,13,1,0
Student,403.47,75.13,71.3,22,0,0
Faculty,510.37,199.3,40.4,14,0,0
Staff,346.46,61.47,109.0,15,0,0
Guest,90.06,4.07,5.5,19,0,0
Faculty,1144.14,159.21,161.7,13,0,0
Guest,121.09,13.71,11.3,19,1,0
Faculty,270.92,212.17,216.1,8,0,0
Staff,285.51,54.9,153.0,11,0,0
Student,497.02,36.9,38.5,18,0,0
Faculty,309.45,173.71,150.7,16,0,0
Guest,5.0,24.63,12.3,20,0,0
Student,484.49,109.04,136.8,10,0,0
Guest,152.38,11.98,5.0,15,1,0
Student,79.55,78.64,141.8,22,0,0
Staff,335.17,67.96,90.3,16,1,0
Staff,300.62,65.86,134.5,16,1,0
Student,6191.73,25.21,78.4,19,0,1
Faculty,528.66,8.0,263.8,16,0,0
Guest,153.95,28.37,26.8,19,0,0
Faculty,981.83,228.08,365.3,13,0,0
Student,445.21,143.71,83.1,14,0,0
Admin,365.64,493.2,228.2,21,0,0
Faculty,996.56,179.16,136.4,17,0,0
Student,80.39,85.4,108.0,10,0,0
Faculty,633.75,206.82,258.3,9,0,0
Staff,218.03,106.12,128.5,15,0,0
Faculty,699.53,158.81,117.3,10,0,0
Faculty,120.14,21.03,1281.1,19,0,1
Student,271.44,101.88,57.7,10,0,0
Student,598.38,97.07,72.1,11,0,0
Faculty,1062.23,123.66,167.2,19,0,0
Student,538.02,25.28,50.8,11,0,0
Staff,83.94,116.79,147.3,9,0,0
Student,604.82,91.6,96.3,15,1,0
Faculty,931.46,214.73,171.3,17,1,0
Staff,5487.8,21.15,44.0,16,0,1
Staff,367.54,60.53,78.9,17,0,0
Faculty,172.06,210.14,187.7,9,1,0
Student,724.72,94.39,108.5,21,1,0
Faculty,5137.12,79.7,64.1,14,0,1
Guest,161.52,15.24,5.0,16,0,0
Faculty,316.39,182.14,112.6,10,0,0
Staff,340.75,54.66,63.5,12,1,0
Guest,177.46,23.92,46.5,14,0,0
Student,718.58,65.81,5.0,10,0,0
Admin,237.47,50.95,61.3,12,0,0
Student,578.76,110.1,135.6,17,0,0
Student,255.13,56.73,75.4,7,1,0
Student,271.69,89.25,78.0,7,0,0
Faculty,459.51,48.03,185.7,8,1,0
Staff,323.91,134.15,126.8,8,0,0
Faculty,737.75,117.24,113.4,7,0,0
Faculty,738.21,144.92,223.9,11,2,0
Student,341.09,1.0,5.0,8,0,0
Faculty,1181.32,36.19,82.9,9,0,0
Staff,363.19,76.76,135.5,8,0,0
Faculty,498.12,84.38,94.9,10,12,1
Admin,144.07,415.1,240.3,7,0,0
Staff,134.64,5.68,30.0,12,0,0
Faculty,982.83,71.2,152.7,12,0,0
Staff,263.1,50.46,138.8,14,0,0
Staff,201.89,72.65,116.2,11,1,0
Student,601.28,171.5,29.7,17,0,0
Student,427.52,156.95,77.0,21,1,0
Staff,325.88,58.74,137.2,15,0,0
Student,190.31,112.07,50.9,12,0,0
Guest,238.28,2274.27,118.3,13,0,1
Student,386.04,26.66,31.1,15,0,0
Guest,42.12,10.34,42.7,16,1,0
Faculty,766.94,199.35,120.0,8,0,0
Guest,24.66,27.31,5.2,18,0,0
Admin,153.62,65.86,23.2,18,0,0
Staff,367.47,21.24,134.1,8,0,0
Admin,559.32,305.45,299.0,15,0,0
Student,559.45,80.67,217.2,16,0,0
Staff,418.59,95.75,180.5,17,0,0
Staff,235.94,60.22,98.6,9,0,0
Student,703.29,80.25,45.6,1,0,1
Staff,390.97,40.49,101.9,16,0,0
Student,257.39,122.07,29.4,21,0,0
Student,10.0,121.35,42.7,19,0,0
Student,147.78,71.35,94.1,21,2,0
Student,398.21,10.99,39.6,18,0,0
Faculty,211.59,122.15,225.8,7,1,0
Student,266.35,90.27,23.2,20,0,0
Student,357.65,99.95,5.7,21,0,0
Guest,23.73,3.76,37.9,10,0,0
Admin,547.53,353.36,262.2,6,0,0
Faculty,201.55,5.0,195.3,13,1,0
Student,181.49,96.69,156.6,8,0,0
Faculty,476.14,64.33,149.3,12,0,0
Student,615.8,32.1,115.6,15,0,0
Faculty,598.76,216.24,191.2,12,1,0
Student,246.7,93.99,87.1,20,1,0
Student,3137.74,61.42,106.3,19,0,1
Faculty,511.2,187.43,191.7,13,1,0
Faculty,781.6,99.73,163.3,15,0,0
Faculty,374.04,231.5,123.7,18,0,0
Guest,5.0,1.0,36.4,12,0,0
Staff,286.28,63.21,153.9,11,0,0
Staff,288.19,67.35,162.5,14,0,0
Staff,137.95,50.65,90.2,16,0,0
Admin,300.29,50.94,41.9,14,18,1
Faculty,391.83,89.94,230.6,8,0,0
Faculty,998.69,94.79,90.9,17,0,0
Student,313.16,111.62,129.2,19,0,0
Faculty,658.64,155.99,242.4,15,0,0
Student,274.21,46.84,142.4,18,1,0
Student,328.49,25.29,57.8,21,0,0
Student,651.56,125.61,90.5,20,0,0
Admin,747.71,315.48,277.4,19,0,0
Student,228.89,84.35,159.0,21,0,0
Student,201.13,106.42,109.9,7,0,0
Admin,937.61,60.47,77.8,2,0,1
Student,305.1,46.17,131.1,16,0,0
Student,387.45,104.62,31.9,10,0,0
Student,418.03,40.55,87.8,17,3,0
Staff,219.73,57.8,137.0,15,0,0
Guest,110.26,18.3,60.2,17,1,0
Guest,315.76,73.56,100.5,11,8,1
Student,462.63,82.72,27.7,14,0,0
Admin,713.9,5.0,134.2,17,1,0
Student,469.64,69.38,103.1,17,0,0
Student,479.03,92.92,77.4,16,0,0
Faculty,419.69,50.84,1049.8,15,0,1
Student,528.06,47.76,124.0,12,0,0
Guest,90.08,11.51,26.5,17,0,0
Student,716.21,62.32,54.5,15,11,1
Student,223.31,122.08,87.4,22,2,0
Student,1054.21,32.3,62.4,20,0,0
Faculty,669.77,260.96,193.7,17,0,0
Student,352.6,108.6,56.0,11,0,0
Student,435.45,91.65,148.9,9,1,0
Student,867.57,64.88,103.0,16,0,0
Staff,228.63,60.31,120.0,15,0,0
Faculty,486.28,196.93,191.7,18,1,0
Staff,274.27,16.74,99.3,16,0,0
Student,138.18,104.43,5.0,13,1,0
Student,367.01,131.54,92.5,20,1,0
Admin,144.59,355.07,63.7,10,0,0
Student,10.0,40.66,117.5,15,1,0
Guest,73.52,31.32,75.5,19,0,0
Staff,332.68,4.42,81.3,13,0,0
Admin,852.74,50.61,53.5,1,0,1
Guest,2431.5,509.33,524.1,23,5,1
Student,660.9,50.38,130.4,20,0,0
Student,236.6,91.92,60.0,9,0,0
Faculty,501.65,5.0,187.4,15,0,0
Faculty,947.33,223.69,219.3,11,0,0
Faculty,427.92,150.34,180.9,13,0,0
Guest,51.45,21.02,29.4,9,0,0
Guest,55.08,21.37,49.1,16,0,0
Faculty,1181.86,233.39,171.9,8,0,0
Guest,128.23,30.02,27.1,10,0,0
Student,304.48,48.03,103.7,21,0,0
Faculty,343.48,235.14,221.3,10,1,0
Admin,312.18,164.2,129.4,13,0,0
Guest,54.07,11.31,20.7,18,0,0
Guest,174.33,20.59,38.3,20,0,0
Faculty,681.52,41.29,75.2,16,13,1
Student,432.86,54.38,79.2,11,1,0
Faculty,919.54,96.83,117.3,18,0,0
Student,720.18,88.0,5.0,22,0,0
Staff,235.26,50.3,136.5,17,0,0
Student,502.03,141.17,92.6,18,1,0
Student,220.71,32.89,102.5,7,0,0
Faculty,7387.26,85.55,103.6,14,0,1
Student,397.96,143.61,96.4,14,0,0
Student,119.15,93.24,77.9,19,0,0
Student,576.18,79.24,88.3,14,0,0
Student,155.14,61.53,113.5,19,2,0
Student,47.74,114.52,97.1,19,0,0
Student,527.08,115.47,50.6,19,1,0
Admin,375.92,160.68,141.9,6,0,0
Student,206.04,92.94,35.1,12,2,0
Faculty,834.23,44.08,133.6,11,0,0
Student,511.52,26.5,115.8,12,0,0
Student,674.21,104.03,54.2,18,0,0
Student,68.93,101.15,105.1,14,0,0
Staff,403.42,54.72,1048.8,8,0,1
Faculty,911.39,73.12,264.5,18,1,0
Student,624.17,53.41,104.4,18,0,0
Student,392.05,86.99,5.0,21,1,0
Student,466.63,1.0,88.5,14,1,0
Staff,278.57,77.91,114.3,11,0,0
Student,160.18,101.76,70.6,10,1,0
Admin,590.93,218.7,179.6,22,0,0
Student,601.5,69.73,120.0,21,0,0
Student,202.27,98.01,90.1,8,1,0
Staff,154.71,88.29,72.0,12,0,0
Guest,94.37,36.19,30.2,15,0,0
Faculty,825.85,181.2,196.5,14,1,0
Staff,93.7,47.89,85.5,13,0,0
Faculty,624.29,146.59,184.7,7,0,0
Student,715.84,99.78,128.9,17,0,0
Faculty,50.0,36.59,108.8,13,0,0
Student,411.3,28.55,88.6,13,0,0
Faculty,911.2,69.28,153.4,18,1,0
Faculty,213.17,121.31,214.0,14,2,0
Student,307.24,98.62,49.6,19,0,0
Faculty,924.84,202.12,217.3,15,1,0
Student,80.01,136.4,62.7,18,0,0
Faculty,589.72,91.79,307.3,18,0,0
Student,639.27,83.02,83.3,21,1,0
Student,104.57,73.15,23.6,8,1,0
Faculty,812.72,219.27,222.8,15,0,0
Guest,49.23,23.54,11.1,13,0,0
Faculty,811.92,100.11,181.4,15,0,0
Faculty,845.55,107.77,179.9,19,0,0
Staff,262.42,64.97,151.2,13,0,0
Staff,360.13,91.98,135.4,10,0,0
Student,447.11,114.88,67.5,9,1,0
Student,10.0,39.89,199.3,21,1,0
Student,177.81,127.55,115.0,7,1,0
Faculty,750.46,218.35,120.8,10,0,0
Faculty,413.05,314.78,168.7,17,0,0
Staff,416.16,57.39,133.6,10,1,0
Admin,294.32,432.06,193.4,8,0,0
Guest,8.03,12.24,43.7,18,1,0
Faculty,535.58,60.07,78.5,11,17,1
Student,474.47,113.42,85.4,11,1,0
Guest,80.04,52.3,31.9,12,1,0
Student,427.64,72.2,109.1,22,0,0
Faculty,52.73,152.59,262.2,11,0,0
Admin,981.27,195.01,107.0,19,0,0
Guest,188.64,27.6,5.0,12,0,0
Faculty,469.41,130.25,99.3,15,0,0
Guest,130.69,22.12,22.1,19,0,0
Student,420.03,20.17,94.7,9,0,0
Staff,167.93,7.97,125.5,12,0,0
Admin,411.15,88.58,98.4,5,0,1
Student,149.78,3629.97,119.5,13,0,1
Student,195.09,116.32,41.9,12,1,0
Faculty,70.76,78.46,164.2,12,0,0
Guest,147.93,5.91,8.1,12,1,0
Faculty,621.93,5.0,150.3,9,0,0
Faculty,450.29,43.31,1192.8,11,0,1
Staff,330.71,79.55,119.6,9,0,0
Student,379.0,19.72,9.9,14,0,0
Faculty,571.16,175.18,169.9,16,0,0
Faculty,513.03,100.29,141.1,11,0,0
Staff,237.15,72.67,162.7,9,0,0
Guest,162.73,37.81,34.1,12,0,0
Student,10.0,88.47,120.5,9,0,0
Faculty,646.65,88.02,265.9,10,1,0
Admin,725.86,326.48,76.7,7,0,0
Guest,36.89,17.84,5.7,20,0,0
Student,87.93,77.37,67.4,8,1,0
Staff,435.87,40.67,117.6,8,0,0
Student,577.88,76.03,106.0,8,0,0
Faculty,1266.81,260.8,201.3,8,0,0
Guest,143.15,29.35,37.0,18,0,0
Student,383.77,32.54,1399.7,12,0,1
Faculty,850.24,99.81,267.9,16,0,0
Faculty,398.47,207.49,170.5,11,0,0
Student,74.78,108.99,146.9,14,1,0
Faculty,833.84,242.07,201.8,16,0,0
Student,467.25,1.0,103.1,9,0,0
Student,541.93,146.84,109.7,16,0,0
Student,619.47,109.65,126.4,10,0,0
Staff,446.4,45.66,118.0,9,0,0
Faculty,425.63,174.06,113.6,7,1,0
Faculty,1336.34,168.75,68.3,17,0,0
Student,689.03,76.91,82.1,12,0,0
Faculty,506.54,177.24,127.4,10,1,0
Student,632.99,117.11,192.9,18,0,0
Guest,107.95,25.56,42.0,13,0,0
Admin,87.19,104.85,170.8,14,0,0
Student,124.38,61.16,63.1,18,1,0
Faculty,519.11,118.62,68.6,13,0,0
Faculty,470.47,163.6,165.8,18,0,0
Student,118.01,73.05,60.8,9,0,0
Student,493.77,72.72,5.0,17,0,0
Faculty,374.03,176.91,125.1,12,1,0
Staff,262.57,120.62,50.6,15,0,0
Faculty,638.07,231.98,154.9,14,0,0
Faculty,459.03,194.1,203.7,14,0,0
Admin,278.01,35.14,680.5,10,0,1
Faculty,2322.31,941.62,332.7,4,9,1
Staff,211.93,16.91,201.2,15,0,0
